st,state,a_mean,tot_emp,a_median,occ_title,group,year
AL,Alabama,71920.0,91920.0,62960,Management occupations,major,2003
AL,Alabama,50310.0,54010.0,45670,Business and financial operations occupations,major,2003
AL,Alabama,59440.0,29600.0,56170,Computer and mathematical occupations,major,2003
AL,Alabama,57670.0,35490.0,55060,Architecture and engineering occupations,major,2003
AL,Alabama,46870.0,10800.0,41630,"Life, physical, and social science occupations",major,2003
AL,Alabama,31110.0,14950.0,28730,Community and social services occupations,major,2003
AL,Alabama,66750.0,9700.0,49500,Legal occupations,major,2003
AL,Alabama,34770.0,100460.0,35890,"Education, training, and library occupations",major,2003
AL,Alabama,31890.0,14590.0,26830,"Arts, design, entertainment, sports, and media occupations",major,2003
AL,Alabama,47260.0,99150.0,37040,Healthcare practitioners and technical occupations,major,2003
AL,Alabama,18750.0,42590.0,17410,Healthcare support occupations,major,2003
AL,Alabama,27750.0,39190.0,25540,Protective service occupations,major,2003
AL,Alabama,14610.0,137220.0,13650,Food preparation and serving related occupations,major,2003
AL,Alabama,17820.0,54590.0,16150,Building and grounds cleaning and maintenance occupations,major,2003
AL,Alabama,17590.0,28700.0,15030,Personal care and service occupations,major,2003
AL,Alabama,27270.0,198810.0,18060,Sales and related occupations,major,2003
AL,Alabama,24820.0,296110.0,22420,Office and administrative support occupations,major,2003
AL,Alabama,23640.0,7360.0,21720,"Farming, fishing, and forestry occupations",major,2003
AL,Alabama,29190.0,92710.0,26670,Construction and extraction occupations,major,2003
AL,Alabama,32800.0,94140.0,30460,"Installation, maintenance, and repair occupations",major,2003
AL,Alabama,26740.0,206700.0,23250,Production occupations,major,2003
AL,Alabama,24270.0,161370.0,20910,Transportation and material moving occupations,major,2003
AK,Alaska,69300.0,21450.0,62260,Management occupations,major,2003
AK,Alaska,55990.0,8880.0,52100,Business and financial operations occupations,major,2003
AK,Alaska,56200.0,3270.0,54740,Computer and mathematical occupations,major,2003
AK,Alaska,66430.0,6480.0,64320,Architecture and engineering occupations,major,2003
AK,Alaska,52050.0,6370.0,47580,"Life, physical, and social science occupations",major,2003
AK,Alaska,37050.0,5880.0,34910,Community and social services occupations,major,2003
AK,Alaska,65910.0,2500.0,55490,Legal occupations,major,2003
AK,Alaska,42380.0,20590.0,40990,"Education, training, and library occupations",major,2003
AK,Alaska,33980.0,2870.0,30680,"Arts, design, entertainment, sports, and media occupations",major,2003
AK,Alaska,63000.0,12190.0,54480,Healthcare practitioners and technical occupations,major,2003
AK,Alaska,29310.0,5500.0,28400,Healthcare support occupations,major,2003
AK,Alaska,35490.0,11240.0,27920,Protective service occupations,major,2003
AK,Alaska,20140.0,22620.0,17620,Food preparation and serving related occupations,major,2003
AK,Alaska,24460.0,9620.0,22250,Building and grounds cleaning and maintenance occupations,major,2003
AK,Alaska,25380.0,7750.0,22420,Personal care and service occupations,major,2003
AK,Alaska,28670.0,24510.0,22850,Sales and related occupations,major,2003
AK,Alaska,32140.0,51170.0,30340,Office and administrative support occupations,major,2003
AK,Alaska,35530.0,630.0,34260,"Farming, fishing, and forestry occupations",major,2003
AK,Alaska,50210.0,20030.0,49370,Construction and extraction occupations,major,2003
AK,Alaska,46210.0,15460.0,45070,"Installation, maintenance, and repair occupations",major,2003
AK,Alaska,36820.0,10460.0,31210,Production occupations,major,2003
AK,Alaska,38400.0,22800.0,30610,Transportation and material moving occupations,major,2003
AZ,Arizona,74200.0,122870.0,64000,Management occupations,major,2003
AZ,Arizona,50360.0,89400.0,45280,Business and financial operations occupations,major,2003
AZ,Arizona,57750.0,44630.0,53950,Computer and mathematical occupations,major,2003
AZ,Arizona,56720.0,54620.0,52560,Architecture and engineering occupations,major,2003
AZ,Arizona,45730.0,15260.0,41260,"Life, physical, and social science occupations",major,2003
AZ,Arizona,32660.0,24440.0,30850,Community and social services occupations,major,2003
AZ,Arizona,68630.0,15930.0,60450,Legal occupations,major,2003
AZ,Arizona,34220.0,131920.0,31650,"Education, training, and library occupations",major,2003
AZ,Arizona,37500.0,21600.0,31200,"Arts, design, entertainment, sports, and media occupations",major,2003
AZ,Arizona,56580.0,94470.0,44730,Healthcare practitioners and technical occupations,major,2003
AZ,Arizona,22240.0,55320.0,21090,Healthcare support occupations,major,2003
AZ,Arizona,33020.0,61280.0,30760,Protective service occupations,major,2003
AZ,Arizona,15930.0,198590.0,14100,Food preparation and serving related occupations,major,2003
AZ,Arizona,18860.0,83680.0,17060,Building and grounds cleaning and maintenance occupations,major,2003
AZ,Arizona,23360.0,51730.0,17600,Personal care and service occupations,major,2003
AZ,Arizona,29290.0,250720.0,21750,Sales and related occupations,major,2003
AZ,Arizona,26910.0,400280.0,24840,Office and administrative support occupations,major,2003
AZ,Arizona,16190.0,13770.0,13960,"Farming, fishing, and forestry occupations",major,2003
AZ,Arizona,30700.0,163190.0,29070,Construction and extraction occupations,major,2003
AZ,Arizona,34500.0,98900.0,32620,"Installation, maintenance, and repair occupations",major,2003
AZ,Arizona,26390.0,121620.0,23230,Production occupations,major,2003
AZ,Arizona,27740.0,146510.0,21630,Transportation and material moving occupations,major,2003
AR,Arkansas,65580.0,46850.0,56710,Management occupations,major,2003
AR,Arkansas,42840.0,33610.0,38330,Business and financial operations occupations,major,2003
AR,Arkansas,47660.0,13080.0,44130,Computer and mathematical occupations,major,2003
AR,Arkansas,47980.0,11590.0,44960,Architecture and engineering occupations,major,2003
AR,Arkansas,41050.0,7050.0,37220,"Life, physical, and social science occupations",major,2003
AR,Arkansas,29000.0,13380.0,26170,Community and social services occupations,major,2003
AR,Arkansas,54140.0,5380.0,39360,Legal occupations,major,2003
AR,Arkansas,32940.0,63520.0,32430,"Education, training, and library occupations",major,2003
AR,Arkansas,28180.0,8190.0,24390,"Arts, design, entertainment, sports, and media occupations",major,2003
AR,Arkansas,45410.0,59600.0,35660,Healthcare practitioners and technical occupations,major,2003
AR,Arkansas,18390.0,27370.0,17230,Healthcare support occupations,major,2003
AR,Arkansas,26370.0,21170.0,24620,Protective service occupations,major,2003
AR,Arkansas,15050.0,85100.0,13820,Food preparation and serving related occupations,major,2003
AR,Arkansas,17140.0,33880.0,15870,Building and grounds cleaning and maintenance occupations,major,2003
AR,Arkansas,16010.0,18050.0,14320,Personal care and service occupations,major,2003
AR,Arkansas,25620.0,113430.0,17630,Sales and related occupations,major,2003
AR,Arkansas,23250.0,178830.0,21450,Office and administrative support occupations,major,2003
AR,Arkansas,22720.0,7030.0,21280,"Farming, fishing, and forestry occupations",major,2003
AR,Arkansas,28180.0,48410.0,26470,Construction and extraction occupations,major,2003
AR,Arkansas,30900.0,53210.0,28820,"Installation, maintenance, and repair occupations",major,2003
AR,Arkansas,24370.0,158550.0,22200,Production occupations,major,2003
AR,Arkansas,25780.0,111140.0,22530,Transportation and material moving occupations,major,2003
CA,California,96710.0,781710.0,85190,Management occupations,major,2003
CA,California,61130.0,643350.0,53980,Business and financial operations occupations,major,2003
CA,California,72230.0,386420.0,69290,Computer and mathematical occupations,major,2003
CA,California,68070.0,321640.0,65070,Architecture and engineering occupations,major,2003
CA,California,57330.0,143060.0,52530,"Life, physical, and social science occupations",major,2003
CA,California,40600.0,177580.0,36960,Community and social services occupations,major,2003
CA,California,94580.0,110250.0,78120,Legal occupations,major,2003
CA,California,46080.0,905200.0,42830,"Education, training, and library occupations",major,2003
