st,year,sum_mean,tot_emp,a_mean,Inflation Rate,a_mean_inflation_adjusted
AK,2003,11848340000,292270,40539.0,1.30379195929,52854
AK,2004,12123222100,293130,41358.0,1.29396513819,53515
AK,2005,12830649500,300160,42746.0,1.26907088653,54247
AK,2006,13346622800,303890,43919.0,1.23617218625,54291
AK,2007,13831473500,301920,45812.0,1.19932570295,54943
AK,2008,14386509200,307290,46817.0,1.16193871831,54398
AK,2009,15017725300,307870,48779.0,1.13084367063,55161
AK,2010,15497285000,307760,50355.0,1.10873487344,55830
AK,2011,16149531400,313160,51570.0,1.09197174662,56312
AK,2012,16572840300,318700,52001.0,1.06764126046,55518
AK,2013,17120191700,322650,53061.0,1.04388739602,55389
AK,2014,17555889000,324960,54025.0,1.02815334044,55545
AK,2015,18245654900,327260,55753.0,1.01711503645,56707
AK,2016,18335988100,323490,56682.0,1.0,56682
AL,2003,56948215700,1820160,31287.0,1.30379195929,40791
AL,2004,57773276700,1830350,31564.0,1.29396513819,40842
AL,2005,60514950800,1872590,32316.0,1.26907088653,41011
AL,2006,63938047200,1912210,33437.0,1.23617218625,41333
AL,2007,67538611700,1931960,34959.0,1.19932570295,41927
AL,2008,70370289700,1945310,36174.0,1.16193871831,42031
AL,2009,69954281800,1863620,37537.0,1.13084367063,42448
AL,2010,69759465200,1807490,38595.0,1.10873487344,42791
AL,2011,70885477100,1809430,39176.0,1.09197174662,42779
AL,2012,72128318100,1824400,39535.0,1.06764126046,42209
AL,2013,74156310800,1844080,40213.0,1.04388739602,41977
AL,2014,75942299400,1857520,40884.0,1.02815334044,42035
AL,2015,78941623700,1883310,41916.0,1.01711503645,42633
AL,2016,81319079100,1913000,42509.0,1.0,42509
AR,2003,31863088200,1118420,28489.0,1.30379195929,37143
AR,2004,32625938400,1125830,28979.0,1.29396513819,37497
AR,2005,33994604400,1142370,29758.0,1.26907088653,37765
AR,2006,36006148800,1166820,30858.0,1.23617218625,38145
AR,2007,36280435500,1117040,32479.0,1.19932570295,38952
AR,2008,37935115100,1120100,33868.0,1.16193871831,39352
AR,2009,39791523200,1147650,34672.0,1.13084367063,39208
AR,2010,40267535700,1135580,35460.0,1.10873487344,39315
AR,2011,41402862300,1139680,36328.0,1.09197174662,39669
AR,2012,42543352000,1155010,36834.0,1.06764126046,39325
AR,2013,43017189800,1152610,37322.0,1.04388739602,38959
AR,2014,43962301400,1158780,37938.0,1.02815334044,39006
AR,2015,45338779400,1176150,38548.0,1.01711503645,39207
AR,2016,47158840600,1191300,39586.0,1.0,39586
AZ,2003,75791028800,2260730,33525.0,1.30379195929,43709
AZ,2004,79807814900,2313520,34496.0,1.29396513819,44636
AZ,2005,85162799100,2437120,34944.0,1.26907088653,44346
AZ,2006,93348113100,2574150,36264.0,1.23617218625,44828
AZ,2007,99567896000,2648030,37601.0,1.19932570295,45095
AZ,2008,103712514600,2637830,39317.0,1.16193871831,45683
AZ,2009,101511819600,2479130,40947.0,1.13084367063,46304
AZ,2010,100368668200,2367120,42401.0,1.10873487344,47011
AZ,2011,103969356900,2380180,43681.0,1.09197174662,47698
AZ,2012,106108654000,2414340,43949.0,1.06764126046,46921
AZ,2013,109819014500,2475660,44359.0,1.04388739602,46305
AZ,2014,112635163600,2526990,44573.0,1.02815334044,45827
AZ,2015,117222324600,2587090,45310.0,1.01711503645,46085
AZ,2016,122778262300,2652990,46279.0,1.0,46279
CA,2003,589008302800,14512660,40586.0,1.30379195929,52915
CA,2004,603057251300,14534620,41491.0,1.29396513819,53687
CA,2005,579907077000,13794400,42039.0,1.26907088653,53350
CA,2006,665867407400,15065730,44197.0,1.23617218625,54635
CA,2007,700001097600,15202550,46045.0,1.19932570295,55222
CA,2008,732402440000,15212620,48144.0,1.16193871831,55940
CA,2009,720868595200,14532660,49603.0,1.13084367063,56093
CA,2010,710477375900,14001740,50742.0,1.10873487344,56259
CA,2011,728726037600,14038950,51907.0,1.09197174662,56680
CA,2012,748753878200,14303620,52347.0,1.06764126046,55887
CA,2013,780074383900,14714530,53014.0,1.04388739602,55340
CA,2014,814813143400,15119730,53891.0,1.02815334044,55408
CA,2015,856159101100,15496580,55248.0,1.01711503645,56193
CA,2016,906897433400,15966560,56800.0,1.0,56800
CO,2003,81145788000,2112690,38409.0,1.30379195929,50077
CO,2004,83130377200,2110640,39386.0,1.29396513819,50964
CO,2005,86676195500,2151530,40286.0,1.26907088653,51125
CO,2006,91520858200,2207110,41466.0,1.23617218625,51259
CO,2007,97440744400,2258230,43149.0,1.19932570295,51749
CO,2008,102937147300,2302340,44710.0,1.16193871831,51950
CO,2009,102847599300,2234250,46032.0,1.13084367063,52054
CO,2010,100916539100,2157700,46770.0,1.10873487344,51855
CO,2011,103537928400,2179040,47515.0,1.09197174662,51885
CO,2012,107088336200,2226170,48104.0,1.06764126046,51357
CO,2013,112341962700,2295010,48951.0,1.04388739602,51099
CO,2014,118050601500,2367780,49857.0,1.02815334044,51260
CO,2015,125452876000,2451490,51174.0,1.01711503645,52049
CO,2016,132117302200,2507700,52685.0,1.0,52685
CT,2003,70379149300,1640230,42908.0,1.30379195929,55943
CT,2004,71379170500,1633360,43701.0,1.29396513819,56547
CT,2005,73967199200,1648060,44881.0,1.26907088653,56957
CT,2006,76297468800,1658970,45991.0,1.23617218625,56852
CT,2007,80300583200,1682220,47735.0,1.19932570295,57249
CT,2008,71998399000,1585720,45404.0,1.16193871831,52756
CT,2009,84110694200,1648960,51008.0,1.13084367063,57682
CT,2010,83036322800,1598640,51942.0,1.10873487344,57589
CT,2011,84986208800,1608820,52825.0,1.09197174662,57683
CT,2012,87127659100,1620630,53762.0,1.06764126046,57398
CT,2013,88983463700,1635580,54405.0,1.04388739602,56792
CT,2014,90664688700,1646510,55065.0,1.02815334044,56615
CT,2015,93398198400,1659440,56283.0,1.01711503645,57246
CT,2016,96524933800,1666300,57928.0,1.0,57928
DC,2003,31938986700,587240,54388.0,1.30379195929,70910
DC,2004,34235418800,603140,56762.0,1.29396513819,73448
DC,2005,35832632900,603830,59342.0,1.26907088653,75309
DC,2006,37491061600,609310,61530.0,1.23617218625,76061
DC,2007,39579226200,610550,64826.0,1.19932570295,77747
DC,2008,42782212200,624850,68468.0,1.16193871831,79555
DC,2009,45122427100,637100,70825.0,1.13084367063,80092
DC,2010,46970956000,639310,73471.0,1.10873487344,81459
DC,2011,48062105100,644750,74544.0,1.09197174662,81399
DC,2012,49384029800,648410,76162.0,1.06764126046,81313
DC,2013,51308527000,665860,77056.0,1.04388739602,80437
DC,2014,53010975600,674360,78609.0,1.02815334044,80822
DC,2015,54167605500,675730,80162.0,1.01711503645,81533
DC,2016,58204196500,702370,82868.0,1.0,82868
DE,2003,15105381300,402930,37489.0,1.30379195929,48877
DE,2004,15765197300,408250,38617.0,1.29396513819,49969
DE,2005,15290756800,384690,39748.0,1.26907088653,50443
DE,2006,17190365900,416870,41237.0,1.23617218625,50976
DE,2007,18348362200,425990,43072.0,1.19932570295,51657
DE,2008,19263248900,425200,45304.0,1.16193871831,52640
DE,2009,19113006100,412570,46327.0,1.13084367063,52388
DE,2010,18648836400,397740,46887.0,1.10873487344,51985
DE,2011,18642365200,396870,46973.0,1.09197174662,51293
DE,2012,19616995800,405750,48347.0,1.06764126046,51617
DE,2013,20295350000,412130,49245.0,1.04388739602,51406
DE,2014,21013759500,424340,49521.0,1.02815334044,50915
DE,2015,21821520900,433840,50299.0,1.01711503645,51159
DE,2016,22435133100,440750,50902.0,1.0,50902
FL,2003,232834438000,7141380,32604.0,1.30379195929,42508
FL,2004,244097448300,7330880,33297.0,1.29396513819,43085
FL,2005,215000197400,6162500,34888.0,1.26907088653,44275
FL,2006,281942815700,7869210,35829.0,1.23617218625,44290
FL,2007,296972605700,7963020,37294.0,1.19932570295,44727
FL,2008,299213447200,7771760,38500.0,1.16193871831,44734
FL,2009,290206373800,7355980,39452.0,1.13084367063,44614
FL,2010,286117961600,7103950,40276.0,1.10873487344,44655
FL,2011,291442121200,7151680,40752.0,1.09197174662,44500
FL,2012,297697243600,7273830,40927.0,1.06764126046,43695
FL,2013,306553219500,7453230,41130.0,1.04388739602,42935
FL,2014,320634100700,7665300,41829.0,1.02815334044,43006
FL,2015,339652283000,7925310,42857.0,1.01711503645,43590
FL,2016,362178350700,8222010,44050.0,1.0,44050
GA,2003,131949446900,3786090,34851.0,1.30379195929,45438
GA,2004,135714352800,3806560,35653.0,1.29396513819,46133
GA,2005,141705038400,3904020,36297.0,1.26907088653,46063
GA,2006,148667800800,4001590,37152.0,1.23617218625,45926
GA,2007,155604101200,4058380,38341.0,1.19932570295,45983
GA,2008,163138024100,4068270,40100.0,1.16193871831,46593
GA,2009,160906738000,3889170,41373.0,1.13084367063,46786
GA,2010,158333096300,3744730,42282.0,1.10873487344,46879
GA,2011,160968113200,3779240,42593.0,1.09197174662,46510
GA,2012,165280922900,3815550,43318.0,1.06764126046,46248
GA,2013,170841535200,3879660,44035.0,1.04388739602,45967
