st,year,tot_emp,sum_mean,a_mean,Inflation Rate,a_mean_inflation_adjusted
AK,2003,3270,183774000,56200,1.30379195929,73273
AK,2004,3500,203490000,58140,1.29396513819,75231
AK,2005,3950,235973000,59740,1.26907088653,75814
AK,2006,3930,243581400,61980,1.23617218625,76617
AK,2007,3850,247516500,64290,1.19932570295,77104
AK,2008,4320,281534400,65170,1.16193871831,75723
AK,2009,4630,308589500,66650,1.13084367063,75370
AK,2010,4980,340383000,68350,1.10873487344,75782
AK,2011,5120,359321600,70180,1.09197174662,76634
AK,2012,5250,374220000,71280,1.06764126046,76101
AK,2013,5240,382520000,73000,1.04388739602,76203
AK,2014,5030,379161400,75380,1.02815334044,77502
AK,2015,5210,429095600,82360,1.01711503645,83769
AK,2016,5050,418443000,82860,1.0,82860
AL,2003,29600,1759424000,59440,1.30379195929,77497
AL,2004,29310,1757427600,59960,1.29396513819,77586
AL,2005,31740,1926618000,60700,1.26907088653,77032
AL,2006,33590,2074518400,61760,1.23617218625,76345
AL,2007,33790,2200066900,65110,1.19932570295,78088
AL,2008,34460,2274360000,66000,1.16193871831,76687
AL,2009,34180,2356369200,68940,1.13084367063,77960
AL,2010,35610,2498753700,70170,1.10873487344,77799
AL,2011,36860,2604896200,70670,1.09197174662,77169
AL,2012,38150,2736881000,71740,1.06764126046,76592
AL,2013,40350,2977023000,73780,1.04388739602,77018
AL,2014,39420,3008928600,76330,1.02815334044,78478
AL,2015,38260,2991166800,78180,1.01711503645,79518
AL,2016,38600,3052874000,79090,1.0,79090
AR,2003,13080,623392800,47660,1.30379195929,62138
AR,2004,13270,615993400,46420,1.29396513819,60065
AR,2005,13940,685429800,49170,1.26907088653,62400
AR,2006,14430,747329700,51790,1.23617218625,64021
AR,2007,16910,919565800,54380,1.19932570295,65219
AR,2008,19480,1110554800,57010,1.16193871831,66242
AR,2009,21020,1204446000,57300,1.13084367063,64797
AR,2010,19560,1136436000,58100,1.10873487344,64417
AR,2011,19380,1176753600,60720,1.09197174662,66304
AR,2012,19100,1196615000,62650,1.06764126046,66887
AR,2013,20410,1300525200,63720,1.04388739602,66516
AR,2014,21420,1398511800,65290,1.02815334044,67128
AR,2015,22930,1503749400,65580,1.01711503645,66702
AR,2016,23700,1593351000,67230,1.0,67230
AZ,2003,44630,2577382500,57750,1.30379195929,75293
AZ,2004,47510,2818293200,59320,1.29396513819,76758
AZ,2005,49410,2943847800,59580,1.26907088653,75611
AZ,2006,51500,3179095000,61730,1.23617218625,76308
AZ,2007,56630,3660563200,64640,1.19932570295,77524
AZ,2008,57490,3987506400,69360,1.16193871831,80592
AZ,2009,57820,4116784000,71200,1.13084367063,80516
AZ,2010,60090,4473700500,74450,1.10873487344,82545
AZ,2011,66420,4912423200,73960,1.09197174662,80762
AZ,2012,70950,5334021000,75180,1.06764126046,80265
AZ,2013,76040,5828466000,76650,1.04388739602,80013
AZ,2014,82500,6431700000,77960,1.02815334044,80154
AZ,2015,88800,7105776000,80020,1.01711503645,81389
AZ,2016,93410,7496152500,80250,1.0,80250
CA,2003,386420,27911116600,72230,1.30379195929,94172
CA,2004,382290,28312397400,74060,1.29396513819,95831
CA,2005,384580,29151164000,75800,1.26907088653,96195
CA,2006,391960,30510166400,77840,1.23617218625,96223
CA,2007,394840,31816207200,80580,1.19932570295,96641
CA,2008,412680,34578457200,83790,1.16193871831,97358
CA,2009,415200,36093336000,86930,1.13084367063,98304
CA,2010,420630,37011233700,87990,1.10873487344,97557
CA,2011,447600,40700268000,90930,1.09197174662,99292
CA,2012,471890,43324220900,91810,1.06764126046,98020
CA,2013,486470,46370320400,95320,1.04388739602,99503
CA,2014,514330,51150118500,99450,1.02815334044,102249
CA,2015,548800,56487984000,102930,1.01711503645,104691
CA,2016,580040,59726718800,102970,1.0,102970
CO,2003,75260,5061235000,67250,1.30379195929,87680
CO,2004,76390,5302229900,69410,1.29396513819,89814
CO,2005,74550,5281867500,70850,1.26907088653,89913
CO,2006,77980,5613000400,71980,1.23617218625,88979
CO,2007,81700,6294985000,77050,1.19932570295,92408
CO,2008,86370,6890598600,79780,1.16193871831,92699
CO,2009,88120,7210859600,81830,1.13084367063,92536
CO,2010,86510,7051430100,81510,1.10873487344,90372
CO,2011,88030,7162120800,81360,1.09197174662,88842
CO,2012,90870,7633988700,84010,1.06764126046,89692
CO,2013,91820,7841428000,85400,1.04388739602,89147
CO,2014,96120,8515270800,88590,1.02815334044,91084
CO,2015,97840,8873109600,90690,1.01711503645,92242
CO,2016,104170,9825314400,94320,1.0,94320
CT,2003,43480,2934030400,67480,1.30379195929,87979
CT,2004,46290,3235208100,69890,1.29396513819,90435
CT,2005,47810,3420805500,71550,1.26907088653,90802
CT,2006,46360,3413950400,73640,1.23617218625,91031
CT,2007,47330,3637783800,76860,1.19932570295,92180
CT,2008,46410,3644113200,78520,1.16193871831,91235
CT,2009,43930,3532850600,80420,1.13084367063,90942
CT,2010,42420,3381722400,79720,1.10873487344,88388
CT,2011,41910,3423208800,81680,1.09197174662,89192
CT,2012,44480,3712300800,83460,1.06764126046,89105
